"user_id","travelled_more_2_p","is_married","has_children","is_frequent_flyer","is_weekender","short_trip","is_long_distance_traveler","high_base_fare","high_price_per_p_km","is_old_age","is_low_page_clicks","is_low_session_time","has_no_bags","has_bags","traveled_alone","trip_during_the_week","is_dreamer","has_bookings","score_is_frequent_flyer","score_is_long_distance_traveler","score_is_weekender","score_is_dreamer","score_is_senior","score_is_business","score_is_luxury","score_is_family","segment","perks"
"94883","0","1","0","0","0","1","0","0","1","0","1","1","0","1","0","0","0","1","0","0","0.5","0","0.2","0.2","0.5","0.3","Luxury","Exclusive Concierge Service"
"101486","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0.0","0","0.2","0.4","0.5","0.2","Luxury","Exclusive Concierge Service"
"101961","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0.0","0","0.2","0.2","0.0","0.3","Frequent Flyer","Streak Rewards"
"106907","1","1","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0.0","0","0.2","0.0","0.5","1.0","Long Distance Traveler","50% more Reward Points for Long-distance-Trips"
"118043","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0.0","0","0.2","0.0","0.0","0.3","Family","30% discount for groups of >= 3 with children"
"125845","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0.0","0","0.2","0.4","0.0","0.3","Business","Instant-Rescheduling & Flexible Cancellation"
"133058","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0","0","0.0","0","0.2","0.6","0.0","0.0","Business","Instant-Rescheduling & Flexible Cancellation"
"152583","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0.0","0","0.2","0.2","0.0","0.2","Business","Instant-Rescheduling & Flexible Cancellation"
"153982","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0.0","0","0.2","0.2","0.0","0.3","Family","30% discount for groups of >= 3 with children"
"160754","0","1","1","0","0","0","0","0","0","0","1","1","0","1","1","0","0","1","0","0","0.0","0","0.2","0.4","0.0","0.4","Business","Instant-Rescheduling & Flexible Cancellation"
"164522","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","1","0","0","0.0","0","0.2","0.4","0.0","0.3","Business","Instant-Rescheduling & Flexible Cancellation"
"167852","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0.0","1","0.0","0.2","0.0","0.0","Dreamer","Low-cost-trial"
"171470","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0.0","0","0.2","0.0","0.5","0.2","Long Distance Traveler","50% more Reward Points for Long-distance-Trips"
"174997","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0.0","0","0.2","0.0","0.5","0.2","Long Distance Traveler","50% more Reward Points for Long-distance-Trips"
"175032","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0.0","0","0.2","0.0","0.0","0.2","Family","30% discount for groups of >= 3 with children"
"181157","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0.0","0","0.2","0.0","0.0","0.3","Family","30% discount for groups of >= 3 with children"
"182191","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0.0","0","0.2","0.0","0.0","0.3","Family","30% discount for groups of >= 3 with children"
"187212","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0.0","0","0.2","0.2","0.0","0.4","Family","30% discount for groups of >= 3 with children"
"189676","1","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0.0","0","0.2","0.1","0.5","0.9","Family","30% discount for groups of >= 3 with children"
"190866","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0.0","0","0.2","0.2","0.0","0.2","Frequent Flyer","Streak Rewards"
"195192","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0.5","0","0.2","0.6","0.0","0.0","Business","Instant-Rescheduling & Flexible Cancellation"
"204943","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0.0","0","0.2","0.0","0.0","0.2","Frequent Flyer","Streak Rewards"
"204997","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0.0","0","0.2","0.0","0.5","0.3","Long Distance Traveler","50% more Reward Points for Long-distance-Trips"
"205044","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0.0","0","0.2","0.0","0.5","0.4","Luxury","Exclusive Concierge Service"
"206011","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0.0","0","0.2","0.2","0.0","0.3","Family","30% discount for groups of >= 3 with children"
"216796","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0.0","0","0.2","0.0","0.5","0.2","Long Distance Traveler","50% more Reward Points for Long-distance-Trips"
"217114","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0.0","1","0.0","0.2","0.0","0.2","Dreamer","Low-cost-trial"
"217136","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","0.0","0","0.2","0.4","0.0","0.1","Long Distance Traveler","50% more Reward Points for Long-distance-Trips"
