"user_id","total_sessions","avg_page_clicks","no_bookings","total_bookings","total_hotel_bookings","total_flights_bookings","total_seats","avg_price","avg_departure_weekday","avg_return_weekday","avg_flight_distanz","avg_price_per_p_km","avg_session_time","avg_bags_per_flight","avg_seats_per_flight","avg_nights_per_flight","ratio_nothing_booked","is_married","has_children","is_senior"
"94883","8","9","false","2","2","2","3","432.0450000000000000","0.50000000000000000000","2.0000000000000000","1451.33540370194","0.189848718722181","1.12916666666666667500","0.50000000000000000000","1.5000000000000000","1.00000000000000000000","0.00000000000000000000","true","false","false"
"101486","8","16","false","2","2","1","1","189.9100000000000000","6.0000000000000000","3.0000000000000000","995.681599782712","0.190733664297346","2.03750000000000000000","0.00000000000000000000","1.00000000000000000000","4.5000000000000000","0.00000000000000000000","true","true","false"
"101961","8","16","false","5","5","5","5","248.5320000000000000","4.0000000000000000","1.8000000000000000","1366.56909665485","0.180943755446746","1.96250000000000000833","0.40000000000000000000","1.00000000000000000000","4.4000000000000000","0.00000000000000000000","true","false","false"
"106907","8","30","false","1","1","1","6","13902.0600000000000000","2.0000000000000000","1.00000000000000000000","12797.4805407139","0.181052043222779","12.64858443541666667500","5.0000000000000000","6.0000000000000000","11.0000000000000000","0.00000000000000000000","true","true","false"
"118043","8","21","false","5","4","3","6","779.7633333333333333","3.6666666666666667","1.3333333333333333","2505.16516640717","0.181495449768608","2.55208333333333333750","1.00000000000000000000","2.0000000000000000","6.0000000000000000","0.00000000000000000000","false","true","false"
"125845","9","18","false","3","3","3","4","584.4400000000000000","2.0000000000000000","3.0000000000000000","2861.51912872075","0.163742713223172","2.19629629629629630000","0.66666666666666666667","1.3333333333333333","2.3333333333333333","0.00000000000000000000","true","false","false"
"133058","8","9","false","1","0","1","1","423.5100000000000000","0.00000000000000000000","4.0000000000000000","2887.17851565269","0.146686461437685","1.13541666666666667083","0.00000000000000000000","1.00000000000000000000","","0.00000000000000000000","false","false","false"
"152583","8","19","false","1","1","1","1","367.8300000000000000","3.0000000000000000","1.00000000000000000000","2265.71629563552","0.162346009828572","2.31666666666666665833","2.0000000000000000","1.00000000000000000000","3.0000000000000000","0.00000000000000000000","false","false","false"
"153982","8","19","false","3","3","3","3","218.9566666666666667","3.3333333333333333","1.3333333333333333","1343.6251935625","0.172447300891666","2.30833333333333332500","0.33333333333333333333","1.00000000000000000000","2.3333333333333333","0.00000000000000000000","false","true","false"
"160754","8","11","false","1","1","1","1","93.6200000000000000","6.0000000000000000","3.0000000000000000","527.63183389388","0.177434328230524","1.34791666666666665417","1.00000000000000000000","1.00000000000000000000","3.0000000000000000","0.00000000000000000000","true","true","false"
"164522","8","11","false","1","1","1","1","328.3200000000000000","5.0000000000000000","6.0000000000000000","1807.64650332477","0.181628431994933","1.38958333333333334167","1.00000000000000000000","1.00000000000000000000","14.0000000000000000","0.00000000000000000000","true","false","false"
"167852","8","8","true","0","0","0","","","","","","","0.96666666666666667083","","","","0.00000000000000000000","false","false","false"
"171470","8","56","false","2","0","1","1","3679.3566666666666667","4.6666666666666667","2.6666666666666667","17604.4629726006","0.1589417911079","30.70833333333333333750","0.33333333333333333333","1.3333333333333333","","0.00000000000000000000","false","false","false"
"174997","8","32","false","3","2","2","2","1075.4966666666666667","2.0000000000000000","4.6666666666666667","3938.2118173381","0.177766870334171","16.52916666666666666250","0.33333333333333333333","1.3333333333333333","2.5000000000000000","0.00000000000000000000","false","false","false"
"175032","9","14","false","3","3","2","4","554.6250000000000000","3.0000000000000000","3.0000000000000000","1394.54413454576","0.178069996796908","1.73888888888888888889","0.50000000000000000000","2.0000000000000000","4.3333333333333333","0.00000000000000000000","false","false","false"
"181157","8","19","false","3","3","3","6","346.4766666666666667","1.6666666666666667","4.0000000000000000","1213.45748437397","0.181465756897482","2.35208333333333334167","1.00000000000000000000","2.0000000000000000","3.6666666666666667","0.00000000000000000000","true","false","false"
"182191","8","19","false","1","0","0","","537.6700000000000000","2.0000000000000000","4.0000000000000000","1670.94744003929","0.16088776556232","11.09646615000000000000","1.00000000000000000000","2.0000000000000000","","0.00000000000000000000","false","true","false"
"187212","8","16","false","3","3","3","3","414.1900000000000000","4.0000000000000000","2.6666666666666667","2465.55718782731","0.167529366481448","1.97916666666666666667","0.66666666666666666667","1.00000000000000000000","3.0000000000000000","0.00000000000000000000","true","true","false"
"189676","8","12","false","2","2","1","3","1244.3100000000000000","1.00000000000000000000","0.00000000000000000000","2350.53614555007","0.176457614057637","1.43958333333333333333","2.0000000000000000","3.0000000000000000","9.5000000000000000","0.00000000000000000000","false","true","false"
"190866","9","21","false","5","5","5","5","416.2000000000000000","3.0000000000000000","3.4000000000000000","2423.73570778093","0.170928486068147","2.56481481481481481481","0.40000000000000000000","1.00000000000000000000","2.8000000000000000","0.00000000000000000000","false","false","false"
"195192","8","28","false","1","1","1","2","394.2900000000000000","1.00000000000000000000","4.0000000000000000","1165.5097458689","0.169149164731374","3.47291666666666667083","0.00000000000000000000","2.0000000000000000","1.00000000000000000000","0.00000000000000000000","false","false","false"
